iter	Passed	Remaining
1025	15225	133173
1026	15239	133150
1027	15254	133131
1028	15267	133102
1029	15280	133073
1030	15294	133053
1031	15308	133028
1032	15322	133003
1033	15336	132985
1034	15350	132966
1035	15365	132946
1036	15378	132923
1037	15393	132906
1038	15407	132887
1039	15421	132864
1040	15435	132844
1041	15449	132818
1042	15462	132790
1043	15477	132771
1044	15491	132753
1045	15505	132730
1046	15519	132709
1047	15533	132687
1048	15547	132664
1049	15562	132649
1050	15575	132620
1051	15589	132598
1052	15603	132579
1053	15617	132558
1054	15631	132534
1055	15651	132559
1056	15666	132551
1057	15680	132527
1058	15693	132497
1059	15707	132472
1060	15720	132449
1061	15733	132419
1062	15747	132397
1063	15761	132376
1064	15776	132356
1065	15789	132331
1066	15803	132307
1067	15817	132285
1068	15830	132260
1069	15844	132234
1070	15858	132212
1071	15872	132193
1072	15886	132173
1073	15900	132147
1074	15914	132126
1075	15927	132101
1076	15941	132078
1077	15955	132054
1078	15969	132031
1079	15982	132004
1080	15996	131980
1081	16009	131956
1082	16023	131932
1083	16037	131912
1084	16051	131891
1085	16066	131871
1086	16080	131852
1087	16094	131829
1088	16107	131802
1089	16121	131778
1090	16135	131757
1091	16148	131729
1092	16161	131701
1093	16175	131680
1094	16189	131659
1095	16203	131636
1096	16217	131617
1097	16231	131596
1098	16245	131573
1099	16259	131550
1100	16272	131528
1101	16286	131504
1102	16300	131481
1103	16315	131465
1104	16329	131445
1105	16342	131420
1106	16356	131397
1107	16370	131377
1108	16383	131351
1109	16397	131325
1110	16411	131303
1111	16424	131280
1112	16439	131262
1113	16452	131237
1114	16466	131216
1115	16480	131193
1116	16494	131170
1117	16508	131148
1118	16522	131129
1119	16535	131104
1120	16549	131082
1121	16564	131066
1122	16578	131045
1123	16591	131021
1124	16605	131001
1125	16619	130979
1126	16633	130958
1127	16647	130933
1128	16661	130916
1129	16675	130899
1130	16690	130878
1131	16704	130860
1132	16718	130838
1133	16731	130815
1134	16745	130794
1135	16759	130769
1136	16772	130744
1137	16786	130722
1138	16799	130695
1139	16813	130676
1140	16828	130659
1141	16842	130639
1142	16856	130622
1143	16871	130603
1144	16884	130581
1145	16898	130559
1146	16913	130543
1147	16927	130526
1148	16941	130504
1149	16954	130479
1150	16968	130454
1151	16982	130435
1152	16996	130415
1153	17010	130396
1154	17025	130379
1155	17038	130354
1156	17052	130330
1157	17066	130310
1158	17080	130290
1159	17094	130274
1160	17109	130256
1161	17123	130236
1162	17136	130212
1163	17150	130188
